family,label,site,flow_ml_min,parameter,parameter_value,baseline_icp_mmhg,outcome_icp_mmhg,delta_icp_mmhg,converged,duration_s,icp_std_mmhg,icp_drift_mmhg_min,max_pressure_drift_mmhg_min,max_pressure_residual_mmhg_min,branches_seen,minimum_Pv_minus_Pic_mmhg
fixed_resistance_comparator,fixed_rvs_j2_240,J2,240.0,terminal_resistance_mode,fixed_Rvs1,16.26183701308139,16.171236951458205,0.09060006162318501,True,5400.0,4.172791908366214e-05,-7.167798415627428e-05,7.167798415627428e-05,6.963099017904106e-05,2,2.8471062737288086
matched_sensitivity,sens_r0_1350_pv240,Pv,240.0,R0,1350.0,19.14187899493853,16.692262481462596,2.4496165134759345,True,7200.0,2.5744933607872827e-05,4.4219101269835065e-05,4.4219101269835065e-05,4.162304984807588e-05,0,8.493661031817595
matched_sensitivity,sens_r0_1800_pv240,Pv,240.0,R0,1800.0,22.69811640834893,19.665292941057224,3.0328234672917063,True,7800.0,2.9522272147383913e-05,5.070819129623612e-05,5.070819129623612e-05,4.802545061064691e-05,0,8.08639468287775
matched_sensitivity,sens_r0_2250_pv240,Pv,240.0,R0,2250.0,25.938999975748168,22.387905742445497,3.5510942333026705,True,8400.0,2.968684335503054e-05,5.099159024969258e-05,5.099159024969258e-05,4.849175342566239e-05,0,7.694262000153564
matched_sensitivity,sens_gaut_0p15_pv240,Pv,240.0,Gaut,0.15,21.849336247924526,18.97942357901347,2.8699126689110557,True,7800.0,3.3455357436081395e-05,5.7464483092815463e-05,5.7464483092815463e-05,5.462099054642966e-05,0,7.609367499853921
matched_sensitivity,sens_gaut_0p3_pv240,Pv,240.0,Gaut,0.3,22.69811640834893,19.665292941057224,3.0328234672917063,True,7800.0,2.9522272147383913e-05,5.070819129623612e-05,5.070819129623612e-05,4.802545061064691e-05,0,8.08639468287775
matched_sensitivity,sens_gaut_0p6_pv240,Pv,240.0,Gaut,0.6,23.50187484993335,20.295874929105327,3.205999920828024,True,7800.0,2.5063101218942906e-05,4.30483639947126e-05,4.30483639947126e-05,4.060864654141634e-05,0,8.524989048627312
matched_sensitivity,sens_ke_0p0616_pv240,Pv,240.0,kE,0.0616,22.698165899427487,19.664815034719453,3.0333508647080336,True,7200.0,3.6428108186604346e-05,6.257188259031552e-05,6.257188259031552e-05,5.985513396010258e-05,0,8.086459863799941
matched_sensitivity,sens_ke_0p077_pv240,Pv,240.0,kE,0.077,22.69811640834893,19.665292941057224,3.0328234672917063,True,7800.0,2.9522272147383913e-05,5.070819129623612e-05,5.070819129623612e-05,4.802545061064691e-05,0,8.08639468287775
matched_sensitivity,sens_ke_0p0924_pv240,Pv,240.0,kE,0.0924,22.698412384431148,19.665753806130013,3.0326585783011346,True,7800.0,1.7649146978798727e-05,3.0313472295714676e-05,3.0313472295714676e-05,2.8435971080187102e-05,0,8.086333294038763
